workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
resnet50_conv1,12544,64,147,118013952,os,ring,1,0,10,split_m,12544,64,147,39298,0,0,39298,39298,1.0,1.0,1.0,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,1,0,10,split_n,12544,64,147,39298,0,0,39298,39298,1.0,1.0,1.0,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,1,0,10,split_k,12544,64,147,39298,0,0,39298,39298,1.0,1.0,1.0,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,1,10,split_m,6272,64,147,19649,18826,0,38475,19649,1.0213905133203378,2.0,0.5106952566601689,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,1,10,split_k,12544,64,74,32144,1853396,1605652,3491192,3459048,0.011256327351804197,0.011360929365536414,0.0056281636759020984,0.005680464682768207,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,1,10,split_n,12544,32,147,39298,3687946,0,3727244,3687946,0.010543447115348499,0.010655795936274555,0.0052717235576742495,0.005327897968137278,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,2,10,split_m,6272,64,147,19649,9418,0,29067,19649,1.3519799084872879,2.0,0.6759899542436439,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,2,10,split_k,12544,64,74,32144,926708,802836,1761688,1729544,0.022307014635962782,0.0227215959813685,0.011153507317981391,0.01136079799068425,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,2,10,split_n,12544,32,147,39298,1843978,0,1883276,1843978,0.020866829928273923,0.02131153408554766,0.010433414964136961,0.01065576704277383,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,4,10,split_m,6272,64,147,19649,4714,0,24363,19649,1.6130197430529902,2.0,0.8065098715264951,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,4,10,split_k,12544,64,74,32144,463364,401428,896936,864792,0.043813605430041834,0.045442141000379285,0.021906802715020917,0.022721070500189643,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,4,10,split_n,12544,32,147,39298,921994,0,961292,921994,0.04088039846373422,0.042622837024969794,0.02044019923186711,0.021311418512484897,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,8,10,split_m,6272,64,147,19649,2362,0,22011,19649,1.7853800372541002,2.0,0.8926900186270501,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,8,10,split_k,12544,64,74,32144,231692,200724,464560,432416,0.084591871878767,0.09088007844298084,0.0422959359393835,0.04544003922149042,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,8,10,split_n,12544,32,147,39298,461002,0,500300,461002,0.07854887067759345,0.08524474948047948,0.03927443533879672,0.04262237474023974,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,16,10,split_m,6272,64,147,19649,1186,0,20835,19649,1.8861531077513798,2.0,0.9430765538756899,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,16,10,split_k,12544,64,74,32144,115856,100372,248372,216228,0.1582223439034996,0.18174334498769817,0.0791111719517498,0.09087167249384909,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,16,10,split_n,12544,32,147,39298,230506,0,269804,230506,0.14565388207735985,0.1704858008034498,0.07282694103867993,0.0852429004017249,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,32,10,split_m,6272,64,147,19649,598,0,20247,19649,1.9409295204227788,2.0,0.9704647602113894,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,32,10,split_k,12544,64,74,32144,57938,50196,140278,108134,0.28014371462381843,0.3634194610390811,0.14007185731190921,0.18170973051954056,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,32,10,split_n,12544,32,147,39298,115258,0,154556,115258,0.25426382670358966,0.3409568099394402,0.12713191335179483,0.1704784049697201,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,64,10,split_m,6272,64,147,19649,304,0,19953,19649,1.9695283917205433,2.0,0.9847641958602716,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,64,10,split_k,12544,64,74,32144,28979,25108,86231,57252,0.45572937806589275,0.6864039684203171,0.22786468903294638,0.3432019842101586,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,64,10,split_n,12544,32,147,39298,57634,0,96932,57634,0.40541823133743243,0.6818544609084916,0.20270911566871622,0.3409272304542458,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,128,10,split_m,6272,64,147,19649,157,0,19806,19649,1.9841462183176815,2.0,0.9920731091588407,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,128,10,split_k,12544,64,74,32144,14500,12564,59208,44708,0.6637278746115389,0.8789925740359668,0.33186393730576946,0.4394962870179834,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,128,10,split_n,12544,32,147,39298,28822,0,68120,39298,0.5768937169700529,1.0,0.28844685848502644,0.5,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,256,10,split_m,6272,64,147,19649,84,0,19733,19649,1.9914863426747074,2.0,0.9957431713373537,1.0,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,256,10,split_k,12544,64,74,32144,7260,6292,45696,38436,0.8599877450980392,1.0224268914559267,0.4299938725490196,0.5112134457279633,39298
resnet50_conv1,12544,64,147,118013952,os,ring,2,256,10,split_n,12544,32,147,39298,14416,0,53714,39298,0.7316155936999665,1.0,0.36580779684998327,0.5,39298
resnet50_conv1,12544,64,147,118013952,os,ring,4,1,10,split_m,3136,64,147,10025,18846,0,28871,18846,1.3611582556890998,2.085217022179773,0.34028956392227494,0.5213042555449432,39298
resnet50_conv1,12544,64,147,118013952,os,ring,4,1,10,split_mn,6272,32,147,19649,1843998,0,1863647,1843998,0.021086611359340045,0.021311302940675642,0.005271652839835011,0.0053278257351689106,39298
resnet50_conv1,12544,64,147,118013952,os,ring,4,1,10,split_n,12544,16,147,39298,3687966,0,3727264,3687966,0.010543390540621754,0.010655738149429795,0.0026358476351554384,0.0026639345373574486,39298
resnet50_conv1,12544,64,147,118013952,os,ring,4,1,10,split_k,12544,64,37,28518,2780124,2408508,5217150,5188632,0.007532465043174914,0.007573865327122833,0.0018831162607937284,0.0018934663317807083,39298
