workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
resnet50_conv1,2,1,split_m,1.0213905133203378,0.5106952566601689,0.5106952566601689,0.4893047433398311
resnet50_conv1,2,2,split_m,1.3519799084872879,0.6759899542436439,0.6759899542436439,0.32401004575635606
resnet50_conv1,2,4,split_m,1.6130197430529902,0.8065098715264951,0.8065098715264951,0.19349012847350489
resnet50_conv1,2,8,split_m,1.7853800372541002,0.8926900186270501,0.8926900186270501,0.10730998137294989
resnet50_conv1,2,16,split_m,1.8861531077513798,0.9430765538756899,0.9430765538756899,0.056923446124310106
resnet50_conv1,2,32,split_m,1.9409295204227788,0.9704647602113894,0.9704647602113894,0.029535239788610612
resnet50_conv1,2,64,split_m,1.9695283917205433,0.9847641958602716,0.9847641958602716,0.01523580413972836
resnet50_conv1,2,128,split_m,1.9841462183176815,0.9920731091588407,0.9920731091588407,0.007926890841159273
resnet50_conv1,2,256,split_m,1.9914863426747074,0.9957431713373537,0.9957431713373537,0.004256828662646317
resnet50_conv1,2,512,split_m,1.9952274573517466,0.9976137286758733,0.9976137286758733,0.002386271324126721
resnet50_conv1,2,1024,split_m,1.9970525459904462,0.9985262729952231,0.9985262729952231,0.0014737270047768813
resnet50_conv1,2,2048,split_m,1.997966342976257,0.9989831714881285,0.9989831714881285,0.0010168285118714593
resnet50_conv1,4,1,split_m,1.3611582556890998,0.34028956392227494,0.34723424890028054,0.6527657510997195
resnet50_conv1,4,2,split_m,2.019113189128089,0.5047782972820223,0.515079895185737,0.48492010481426295
resnet50_conv1,4,4,split_m,2.6626465207669896,0.6656616301917474,0.6792465614201504,0.3207534385798496
resnet50_conv1,4,8,split_m,3.167405496896913,0.7918513742242282,0.8080116063512534,0.19198839364874665
resnet50_conv1,4,16,split_m,3.4990650877036775,0.8747662719259194,0.8926186448223666,0.10738135517763336
resnet50_conv1,4,32,split_m,3.6923799680541203,0.9230949920135301,0.9419336653199286,0.058066334680071385
resnet50_conv1,4,64,split_m,3.797275099043386,0.9493187747608465,0.9686926273069861,0.03130737269301387
resnet50_conv1,4,128,split_m,3.851989805920408,0.962997451480102,0.9826504606939815,0.017349539306018458
resnet50_conv1,4,256,split_m,3.879751209398756,0.969937802349689,0.9897324513772336,0.010267548622766354
resnet50_conv1,4,512,split_m,3.8939754260800634,0.9734938565200159,0.9933610780816489,0.006638921918351137
resnet50_conv1,4,1024,split_m,3.9009330950962875,0.9752332737740719,0.9951359936470121,0.004864006352987893
resnet50_conv1,4,2048,split_m,3.904421261798311,0.9761053154495778,0.9960258320914058,0.003974167908594173
resnet50_conv1,8,1,split_m,1.6306900701273912,0.2038362587659239,0.21631602971077638,0.7836839702892237
resnet50_conv1,8,2,split_m,2.674971070723572,0.3343713838404465,0.35484310121843304,0.645156898781567
resnet50_conv1,8,4,split_m,3.934915390007009,0.49186442375087613,0.521978572143787,0.47802142785621304
resnet50_conv1,8,8,split_m,5.147085789129011,0.6433857236411263,0.6827766863130321,0.3172233136869679
resnet50_conv1,8,16,split_m,6.084223564019198,0.7605279455023998,0.8070908809413222,0.1929091190586778
resnet50_conv1,8,32,split_m,6.693578606710952,0.836697325838869,0.887923692726963,0.11207630727303697
resnet50_conv1,8,64,split_m,7.046440738748431,0.8808050923435539,0.9347319347319347,0.06526806526806528
resnet50_conv1,8,128,split_m,7.2372007366482505,0.9046500920810313,0.960036832412523,0.03996316758747698
resnet50_conv1,8,256,split_m,7.335822288594363,0.9169777860742954,0.9731192831808848,0.02688071681911519
resnet50_conv1,8,512,split_m,7.386842105263158,0.9233552631578947,0.9798872180451128,0.020112781954887193
resnet50_conv1,8,1024,split_m,7.411920030177291,0.9264900037721614,0.9832138815541305,0.016786118445869525
resnet50_conv1,8,2048,split_m,7.424522954846023,0.9280653693557529,0.9848856980918194,0.015114301908180638
resnet50_conv2_1_2,2,1,split_m,0.24548078743138368,0.12274039371569184,0.1276500094643195,0.8723499905356805
resnet50_conv2_1_2,2,2,split_m,0.4353390399462907,0.21766951997314535,0.22637630077207116,0.7736236992279288
resnet50_conv2_1_2,2,4,split_m,0.7098385331143952,0.3549192665571976,0.3691160372194855,0.6308839627805145
resnet50_conv2_1_2,2,8,split_m,1.0366706634692247,0.5183353317346123,0.5390687450039968,0.4609312549960032
resnet50_conv2_1_2,2,16,split_m,1.3467030114226375,0.6733515057113187,0.7002855659397715,0.29971443406022846
resnet50_conv2_1_2,2,32,split_m,1.5834859584859584,0.7917429792429792,0.8234126984126984,0.17658730158730163
resnet50_conv2_1_2,2,64,split_m,1.7361111111111112,0.8680555555555556,0.9027777777777778,0.09722222222222221
resnet50_conv2_1_2,2,128,split_m,1.82401547116737,0.912007735583685,0.9484880450070323,0.05151195499296768
resnet50_conv2_1_2,2,256,split_m,1.8713924963924964,0.9356962481962482,0.9731240981240982,0.02687590187590183
resnet50_conv2_1_2,2,512,split_m,1.896016081871345,0.9480080409356725,0.9859283625730995,0.01407163742690054
resnet50_conv2_1_2,2,1024,split_m,1.9085724797645327,0.9542862398822664,0.9924576894775571,0.007542310522442919
resnet50_conv2_1_2,2,2048,split_m,1.9149132521225545,0.9574566260612772,0.9957548911037283,0.004245108896271721
resnet50_conv2_1_2,4,1,split_m,0.2607832294389704,0.0651958073597426,0.07301930424291173,0.9269806957570883
resnet50_conv2_1_2,4,2,split_m,0.4859029599100787,0.12147573997751968,0.13605282877482203,0.863947171225178
resnet50_conv2_1_2,4,4,split_m,0.8548945286750165,0.21372363216875412,0.2393704680290046,0.7606295319709954
resnet50_conv2_1_2,4,8,split_m,1.3781880977683316,0.3445470244420829,0.38589266737513284,0.6141073326248672
resnet50_conv2_1_2,4,16,split_m,1.9860260336906586,0.49650650842266464,0.5560872894333844,0.44391271056661563
resnet50_conv2_1_2,4,32,split_m,2.5478880157170924,0.6369720039292731,0.7134086444007859,0.2865913555992141
resnet50_conv2_1_2,4,64,split_m,2.9676773455377576,0.7419193363844394,0.8309496567505721,0.16905034324942791
