workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
resnet50_conv1,2,1,split_m,1.0213905133203378,0.5106952566601689,0.5106952566601689,0.4893047433398311
resnet50_conv1,2,2,split_m,1.3519799084872879,0.6759899542436439,0.6759899542436439,0.32401004575635606
resnet50_conv1,2,4,split_m,1.6130197430529902,0.8065098715264951,0.8065098715264951,0.19349012847350489
resnet50_conv1,2,8,split_m,1.7853800372541002,0.8926900186270501,0.8926900186270501,0.10730998137294989
resnet50_conv1,2,16,split_m,1.8861531077513798,0.9430765538756899,0.9430765538756899,0.056923446124310106
resnet50_conv1,2,32,split_m,1.9409295204227788,0.9704647602113894,0.9704647602113894,0.029535239788610612
resnet50_conv1,2,64,split_m,1.9695283917205433,0.9847641958602716,0.9847641958602716,0.01523580413972836
resnet50_conv1,2,128,split_m,1.9841462183176815,0.9920731091588407,0.9920731091588407,0.007926890841159273
resnet50_conv1,2,256,split_m,1.9914863426747074,0.9957431713373537,0.9957431713373537,0.004256828662646317
resnet50_conv1,2,512,split_m,1.9952274573517466,0.9976137286758733,0.9976137286758733,0.002386271324126721
resnet50_conv1,2,1024,split_m,1.9970525459904462,0.9985262729952231,0.9985262729952231,0.0014737270047768813
resnet50_conv1,2,2048,split_m,1.997966342976257,0.9989831714881285,0.9989831714881285,0.0010168285118714593
resnet50_conv1,4,1,split_m,1.3611582556890998,0.34028956392227494,0.34723424890028054,0.6527657510997195
resnet50_conv1,4,2,split_m,2.019113189128089,0.5047782972820223,0.515079895185737,0.48492010481426295
resnet50_conv1,4,4,split_m,2.6626465207669896,0.6656616301917474,0.6792465614201504,0.3207534385798496
resnet50_conv1,4,8,split_m,3.167405496896913,0.7918513742242282,0.8080116063512534,0.19198839364874665
resnet50_conv1,4,16,split_m,3.4990650877036775,0.8747662719259194,0.8926186448223666,0.10738135517763336
resnet50_conv1,4,32,split_m,3.6923799680541203,0.9230949920135301,0.9419336653199286,0.058066334680071385
resnet50_conv1,4,64,split_m,3.797275099043386,0.9493187747608465,0.9686926273069861,0.03130737269301387
resnet50_conv1,4,128,split_m,3.851989805920408,0.962997451480102,0.9826504606939815,0.017349539306018458
resnet50_conv1,4,256,split_m,3.879751209398756,0.969937802349689,0.9897324513772336,0.010267548622766354
resnet50_conv1,4,512,split_m,3.8939754260800634,0.9734938565200159,0.9933610780816489,0.006638921918351137
resnet50_conv1,4,1024,split_m,3.9009330950962875,0.9752332737740719,0.9951359936470121,0.004864006352987893
resnet50_conv1,4,2048,split_m,3.904421261798311,0.9761053154495778,0.9960258320914058,0.003974167908594173
resnet50_conv1,8,1,split_m,1.6306900701273912,0.2038362587659239,0.21631602971077638,0.7836839702892237
resnet50_conv1,8,2,split_m,2.674971070723572,0.3343713838404465,0.35484310121843304,0.645156898781567
resnet50_conv1,8,4,split_m,3.934915390007009,0.49186442375087613,0.521978572143787,0.47802142785621304
resnet50_conv1,8,8,split_m,5.147085789129011,0.6433857236411263,0.6827766863130321,0.3172233136869679
resnet50_conv1,8,16,split_m,6.084223564019198,0.7605279455023998,0.8070908809413222,0.1929091190586778
resnet50_conv1,8,32,split_m,6.693578606710952,0.836697325838869,0.887923692726963,0.11207630727303697
resnet50_conv1,8,64,split_m,7.046440738748431,0.8808050923435539,0.9347319347319347,0.06526806526806528
resnet50_conv1,8,128,split_m,7.2372007366482505,0.9046500920810313,0.960036832412523,0.03996316758747698
resnet50_conv1,8,256,split_m,7.335822288594363,0.9169777860742954,0.9731192831808848,0.02688071681911519
resnet50_conv1,8,512,split_m,7.386842105263158,0.9233552631578947,0.9798872180451128,0.020112781954887193
resnet50_conv1,8,1024,split_m,7.411920030177291,0.9264900037721614,0.9832138815541305,0.016786118445869525
resnet50_conv1,8,2048,split_m,7.424522954846023,0.9280653693557529,0.9848856980918194,0.015114301908180638
resnet50_conv3,2,1,split_m,0.13112081440243664,0.06556040720121832,0.06818282348926705,0.9318171765107329
resnet50_conv3,2,2,split_m,0.24549530896915633,0.12274765448457817,0.12765756066396128,0.8723424393360387
resnet50_conv3,2,4,split_m,0.43538471222644204,0.21769235611322102,0.22640005035774985,0.7735999496422501
resnet50_conv3,2,8,split_m,0.7099599685222568,0.3549799842611284,0.36917918363157354,0.6308208163684265
resnet50_conv3,2,16,split_m,1.036929688671231,0.5184648443356155,0.53920343810904,0.46079656189095997
resnet50_conv3,2,32,split_m,1.3471401674998378,0.6735700837499189,0.7005128870999155,0.29948711290008445
resnet50_conv3,2,64,split_m,1.5840903885792808,0.7920451942896404,0.8237270020612261,0.17627299793877393
resnet50_conv3,2,128,split_m,1.7368376998409643,0.8684188499204821,0.9031556039173014,0.09684439608269857
resnet50_conv3,2,256,split_m,1.8248175182481752,0.9124087591240876,0.948905109489051,0.051094890510948954
resnet50_conv3,2,512,split_m,1.8722367590002706,0.9361183795001353,0.9735631146801408,0.026436885319859216
resnet50_conv3,2,1024,split_m,1.8968827132279003,0.9484413566139501,0.9863790108785081,0.0136209891214919
resnet50_conv3,2,2048,split_m,1.9094506303487624,0.9547253151743812,0.9929143277813564,0.007085672218643646
resnet50_conv3,4,1,split_m,0.13537229010771068,0.03384307252692767,0.03790424123015899,0.962095758769841
resnet50_conv3,4,2,split_m,0.26083240104081556,0.06520810026020389,0.07303307229142836,0.9269669277085717
resnet50_conv3,4,4,split_m,0.48607369579985477,0.12151842394996369,0.13610063482395934,0.8638993651760407
resnet50_conv3,4,8,split_m,0.8554231768149401,0.21385579420373502,0.2395184895081832,0.7604815104918168
resnet50_conv3,4,16,split_m,1.3795625290871618,0.34489063227179045,0.3862775081444053,0.6137224918555947
resnet50_conv3,4,32,split_m,1.9888814339116265,0.49722035847790663,0.5568868014952555,0.4431131985047445
resnet50_conv3,4,64,split_m,2.5525894944027554,0.6381473736006888,0.7147250584327716,0.28527494156722843
resnet50_conv3,4,128,split_m,2.974057617887344,0.743514404471836,0.8327361330084564,0.1672638669915436
