workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
resnet50_conv1,12544,64,147,118013952,os,ring,8,16,10,split_m,1568,64,147,5213,1246,0,6459,5213,6.084223564019198,7.538461538461538,0.7605279455023998,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,16,10,split_mn,6272,16,147,19649,115318,0,134967,115318,0.2911674705668793,0.3407794099793614,0.03639593382085991,0.042597426247420175,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,16,10,split_n,12544,8,147,39298,230566,0,269864,230566,0.1456214982361486,0.17044143542413018,0.018202687279518574,0.021305179428016272,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,16,10,split_k,12544,64,19,26754,202853,175756,405363,378609,0.09694520713533303,0.1037957364986041,0.012118150891916629,0.012974467062325513,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,64,10,split_m,1568,64,147,5213,364,0,5577,5213,7.046440738748431,7.538461538461538,0.8808050923435539,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,64,10,split_mn,6272,16,147,19649,28882,0,48531,28882,0.8097504687725371,1.3606398448860881,0.10121880859656714,0.17007998061076102,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,64,10,split_n,12544,8,147,39298,57694,0,96992,57694,0.4051674364896074,0.6811453530696433,0.050645929561200925,0.08514316913370541,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,64,10,split_k,12544,64,19,26754,50819,44044,121617,94863,0.3231291677972652,0.4142605652361827,0.04039114597465815,0.05178257065452284,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,256,10,split_m,1568,64,147,5213,144,0,5357,5213,7.335822288594363,7.538461538461538,0.9169777860742954,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,256,10,split_mn,6272,16,147,19649,7273,0,26922,19649,1.4596983879355174,2.0,0.18246229849193968,0.25,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,256,10,split_k,12544,64,19,26754,12811,11116,50681,37870,0.7753990647382648,1.0377079482439926,0.0969248830922831,0.12971349353049907,39298
resnet50_conv1,12544,64,147,118013952,os,ring,8,256,10,split_n,12544,8,147,39298,14476,0,53774,39298,0.7307992710231711,1.0,0.09134990887789639,0.125,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,16,10,split_m,1568,64,147,5213,4744,0,9957,5213,3.9467711157979313,7.538461538461538,0.4933463894747414,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,16,10,split_mn,6272,16,147,19649,461032,0,480681,461032,0.08175484364890645,0.08523920248486005,0.010219355456113306,0.010654900310607507,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,16,10,split_n,12544,8,147,39298,922024,0,961322,922024,0.04087912270810405,0.04262145020086245,0.005109890338513006,0.005327681275107806,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,16,10,split_k,12544,64,19,26754,926768,200784,1154306,1127552,0.034044698719403695,0.03485249460778749,0.004255587339925462,0.0043565618259734365,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,64,10,split_m,1568,64,147,5213,1216,0,6429,5213,6.112614714574584,7.538461538461538,0.764076839321823,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,64,10,split_mn,6272,16,147,19649,115288,0,134937,115288,0.2912322046584703,0.34086808687807924,0.036404025582308784,0.042608510859759904,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,64,10,split_n,12544,8,147,39298,230536,0,269834,230536,0.14563768835654514,0.1704636152271229,0.018204711044568143,0.02130795190339036,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,64,10,split_k,12544,64,19,26754,231752,50256,308762,282008,0.1272760248994371,0.13935065671895833,0.015909503112429637,0.01741883208986979,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,256,10,split_m,1568,64,147,5213,334,0,5547,5213,7.084550207319272,7.538461538461538,0.885568775914909,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,256,10,split_mn,6272,16,147,19649,28852,0,48501,28852,0.8102513350240201,1.3620546235962845,0.10128141687800252,0.17025682794953556,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,256,10,split_n,12544,8,147,39298,57664,0,96962,57664,0.4052927951156123,0.6814997225305216,0.050661599389451535,0.0851874653163152,39298
resnet50_conv1,12544,64,147,118013952,os,mesh,8,256,10,split_k,12544,64,19,26754,57998,12624,97376,70622,0.40356966809069994,0.5564554954546742,0.05044620851133749,0.06955693693183428,39298
resnet50_conv1,12544,64,147,118013952,os,all_to_all,8,16,10,split_m,1568,64,147,5213,1186,0,6399,5213,6.141272073761526,7.538461538461538,0.7676590092201907,0.9423076923076923,39298
