workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,compute_cycles,distribute_cycles,reduce_cycles
resnet50_conv1,12544,64,147,2,1,split_m,1.0213905133203378,19649,18826,0
resnet50_conv1,12544,64,147,2,2,split_m,1.3519799084872879,19649,9418,0
resnet50_conv1,12544,64,147,2,4,split_m,1.6130197430529902,19649,4714,0
resnet50_conv1,12544,64,147,2,8,split_m,1.7853800372541002,19649,2362,0
resnet50_conv1,12544,64,147,2,16,split_m,1.8861531077513798,19649,1186,0
resnet50_conv1,12544,64,147,2,32,split_m,1.9409295204227788,19649,598,0
resnet50_conv1,12544,64,147,2,64,split_m,1.9695283917205433,19649,304,0
resnet50_conv1,12544,64,147,2,128,split_m,1.9841462183176815,19649,157,0
resnet50_conv1,12544,64,147,2,256,split_m,1.9914863426747074,19649,84,0
resnet50_conv1,12544,64,147,3,1,split_m,1.2254201877202282,13233,18836,0
resnet50_conv1,12544,64,147,3,2,split_m,1.7341688363267287,13233,9428,0
resnet50_conv1,12544,64,147,3,4,split_m,2.1884501865567745,13233,4724,0
resnet50_conv1,12544,64,147,3,8,split_m,2.5182954181352133,13233,2372,0
resnet50_conv1,12544,64,147,3,16,split_m,2.723542865063414,13233,1196,0
resnet50_conv1,12544,64,147,3,32,split_m,2.839245719239939,13233,608,0
resnet50_conv1,12544,64,147,3,64,split_m,2.9008636598508897,13233,314,0
resnet50_conv1,12544,64,147,3,128,split_m,2.932686567164179,13233,167,0
resnet50_conv1,12544,64,147,3,256,split_m,2.948750656561867,13233,94,0
resnet50_conv1,12544,64,147,4,1,split_m,1.3611582556890998,10025,18846,0
resnet50_conv1,12544,64,147,4,2,split_m,2.019113189128089,10025,9438,0
resnet50_conv1,12544,64,147,4,4,split_m,2.6626465207669896,10025,4734,0
resnet50_conv1,12544,64,147,4,8,split_m,3.167405496896913,10025,2382,0
resnet50_conv1,12544,64,147,4,16,split_m,3.4990650877036775,10025,1206,0
resnet50_conv1,12544,64,147,4,32,split_m,3.6923799680541203,10025,618,0
resnet50_conv1,12544,64,147,4,64,split_m,3.797275099043386,10025,324,0
